timestamp,open,high,low,close,volume,SMA,EMA,WMA,DEMA,TEMA,TRIMA,KAMA,MAMA-FAMA,MAMA-MAMA,T3,MACD-MACD,MACD-MACD_Hist,MACD-MACD_Signal,MACDEXT-MACD,MACDEXT-MACD_Hist,MACDEXT-MACD_Signal,SlowD,SlowK,STOCHF-FastD,STOCKF-FastK,RSI,STOCHRSI-FastD,STOCHRSI-FastK,WILLR,ADX,ADXR,APO,PPO
7/21/2014,25776.5391,25861.1504,25677.7109,25715.1699,7600,25517.6969,25525.4432,25478.9019,25554.7295,25551.9058,25388.9793,25552.3556,19676.8645,22402.0551,25571.9074,158.5911,-51.655,210.2461,134.5606,6.4486,128.112,78.2447,88.8996,88.8996,82.6385,59.4291,100,100,-36.6031,17.6178,20.3198,134.5606,0.5286
7/18/2014,25558.4805,25713.4004,25441.2402,25641.5605,8300,25544.01,25469.6441,25436.6239,25449.6394,25396.8971,25439.8279,25547.2935,19663.1701,22367.9695,25593.4493,144.9838,-78.1761,223.1599,146.6547,21.2463,125.4084,60.3383,82.6707,82.6707,91.254,53.9448,89.8315,100,-42.2722,16.4566,20.8431,146.6547,0.5762
7/17/2014,25540.9199,25613.0293,25494.4609,25561.1602,21900,25572.642,25449.9027,25439.1987,25405.7111,25317.0614,25525.3206,25547.0102,19649.5782,22335.7421,25626.0674,147.7093,-94.9946,242.7039,153.6725,33.2334,120.4392,37.8242,63.1639,63.1639,92.8062,53.4891,57.1326,100,-48.4643,15.8942,19.9886,153.6725,0.6038
7/16/2014,25322.1699,25602.7793,25246.75,25549.7207,9600,25606.125,25429.6766,25451.0542,25355.4386,25217.0426,25625.2009,25547.196,19636.0798,22303.3665,25661.4987,150.8276,-115.6249,266.4525,143.5383,28.0158,115.5225,19.7283,35.1802,35.1802,63.9519,47.6859,23.7992,69.4946,-49.3453,15.7834,19.6105,143.5383,0.5639
7/15/2014,25100.9004,25254.4805,25020.3203,25228.6504,8100,25639.965,25453.567,25508.8351,25386.722,25224.9644,25727.4969,25554.1737,19622.6764,22272.8736,25692.7586,174.8866,-120.4722,295.3588,116.8772,2.0863,114.7909,11.0536,15.1284,15.1284,32.7334,40.9823,0.6344,1.9031,-74.0727,15.7105,18.6328,116.8772,0.4589
7/14/2014,25093.1602,25095.7598,24892,25006.9805,11400,25676.8689,25531.9373,25613.5566,25528.6083,25394.4205,25796.79,25570.2838,19609.3588,22244.3076,25707.6304,225.58,-99.8968,325.4768,102.4486,-13.7064,116.155,10.0321,8.8764,8.8764,8.8553,40.7432,0,0,-91.1447,17.4265,18.705,102.4486,0.402
7/11/2014,25488.8594,25548.3301,24978.3301,25024.3496,18600,25685.508,25629.4434,25721.2562,25722.8806,25655.6395,25801.8784,25574.0949,19596.1179,22215.5314,25696.8997,287.7902,-62.6609,350.451,108.5265,-10.5964,119.1229,20.2557,9.1559,9.1559,3.7966,50.0758,0,0,-96.2034,18.3381,18.9359,108.5265,0.4257
7/10/2014,25513.7402,25920.4609,25239.8906,25372.75,16900,25649.8301,25660.6843,25750.5237,25806.1262,25775.9473,25751.6591,25577.1346,19582.955,22182.4674,25660.9952,322.7176,-43.3987,366.1163,128.3154,2.6059,125.7095,39.9182,12.064,12.064,13.9771,50.7334,33.3333,0,-70.6427,19.8122,19.7016,128.3154,0.5039
7/9/2014,25615.2793,25683.9707,25364.7695,25444.8105,10500,25620.225,25693.3385,25769.8845,25903.7551,25931.8445,25667.6398,25578.8353,19569.8921,22148.8182,25609.7373,360.0702,-16.8957,376.9659,118.4144,-18.3041,136.7184,66.3148,39.5471,39.5471,9.6941,53.3046,66.6667,0,-63.7721,21.0748,21.0645,118.4144,0.4654
7/8/2014,26166.9199,26190.4395,25495.0391,25582.1094,12700,25600.8461,25710.685,25767.2603,25985.2073,26083.6445,25563.5841,25578.2593,19556.9327,22113.8035,25548.1355,392.1699,10.98,381.1899,110.2278,-46.4636,156.6914,83.6402,68.1434,68.1434,12.5209,70.8651,97.4909,100,-52.0292,23.0217,22.8509,110.2278,0.4338
